name,ra,dec,l,b,alphaKW,alphaKW0,AKHerschel,J_flux,J_flux_err,Jmag,H_flux,H_flux_err,Hmag,Ks_flux,Ks_flux_err,Ksmag,W1_flux,W1_flux_err,W1mag,W2_flux,W2_flux_err,W2mag,W3_flux,W3_flux_err,W3mag,W4_flux,W4_flux_err,W4mag,J_flag,H_flag,Ks_flag,W1_flag,W2_flag,W3_flag,W4_flag
star_0,82.3473375,-4.515665833333333,207.47394268247245,-20.29106177741936,-1.08,-1.08,0.605,56.557254243831906,5.655725424383191,11.125,47.94021270777489,4.794021270777489,10.824,52.52069387577727,5.252069387577727,10.259,58.22597616414958,5.822597616414958,9.314,44.36064781491167,4.436064781491168,8.97,32.02601571245969,3.2026015712459692,7.488,54.49568259530828,5.449568259530828,5.465,1,1,1,1,1,1,1
star_1,82.50312916666665,-5.262535833333334,208.25849220825864,-20.493859953146387,0.0,0.0,0.09,0.5873382935017016,0.058733829350170165,16.084,0.7256044819627709,0.07256044819627709,15.374,0.7391463814579361,0.07391463814579362,14.888,1.1259439670582034,0.11259439670582035,13.598,0.742331482814527,0.07423314828145271,13.411,1.223215321920731,0.12232153219207309,11.033,4.145358514346607,0.4145358514346607,8.262,1,1,1,1,1,1,1
star_2,82.62092083333332,-3.945232777777778,207.06822024881657,-19.786530340657496,0.0,0.0,0.11,2.573287539581415,0.25732875395814153,14.48,2.966879833806153,0.2966879833806153,13.845,2.4588410507467704,0.24588410507467706,13.583,1.4425031767629384,0.14425031767629384,13.329,1.2641478771065284,0.12641478771065284,12.833,1.3046767177900713,0.13046767177900714,10.963,2.352675862301804,0.2352675862301804,8.877,1,1,1,1,1,1,1
star_3,82.62746666666665,-4.413928055555556,207.51404062363363,-19.99622250817451,0.0,0.0,0.189,12.259939218168537,1.2259939218168538,12.785,15.14606989484244,1.5146069894842442,12.075,12.88043276955182,1.2880432769551822,11.785,8.43173169101791,0.8431731691017911,11.412,6.525260883464278,0.6525260883464279,11.051,3.0528320494265646,0.3052832049426565,10.04,2.6912999094590453,0.26912999094590456,8.731,1,1,1,1,1,1,1
star_4,82.66002083333332,-5.428782777777778,208.49228184536264,-20.43012987742485,-0.88,-0.91,0.127,23.16798786601793,2.3167987866017934,12.094,28.25530220357132,2.825530220357132,11.398,24.139621437837384,2.4139621437837384,11.103,16.870065867684875,1.6870065867684876,10.659,13.784717800205172,1.3784717800205173,10.239,17.104205760675246,1.7104205760675246,8.169,29.645726440343882,2.9645726440343885,6.126,1,1,1,1,1,1,1
star_5,82.67962499999999,-4.265071388888889,207.39874208293483,-19.881699776709056,-0.73,-0.75,0.352,2.059151578170873,0.2059151578170873,14.722,2.713313381252056,0.2713313381252056,13.942,3.220553033199166,0.3220553033199166,13.29,3.2323380770785395,0.323233807707854,12.453,3.004677602558113,0.3004677602558113,11.893,2.977850649068423,0.2977850649068423,10.067,7.001032549301205,0.7001032549301205,7.693,1,1,1,1,1,1,1
star_6,82.71477083333333,-4.176339166666667,207.33207495983012,-19.809799269055915,1.79,0.89,4.792,1594000.0,159400.0,0.0,1024000.0,102400.0,0.0,1.1426953369158672,0.11426953369158672,14.415,6.936122876513554,0.6936122876513555,11.624,32.915304695104,3.2915304695104,9.294,148.83425995961582,14.883425995961582,5.82,1173.7134917239791,117.37134917239791,2.132,1,1,1,1,1,1,1
star_7,82.737725,-4.215712777777778,207.3804259449813,-19.80756067189733,-1.56,-1.6,0.636,32.93732438997784,3.2937324389977842,11.712,41.40949714000071,4.1409497140000715,10.983,34.79609077324933,3.4796090773249335,10.706,21.792987926781613,2.1792987926781615,10.381,16.572875952424262,1.6572875952424262,10.039,9.896985007782268,0.9896985007782269,8.763,9.323137659531813,0.9323137659531814,7.382,1,1,1,1,1,1,1
star_8,82.86287499999999,-4.466483888888889,207.6781166837636,-19.81170603818458,0.14,-0.05,1.018,7.067866162037049,0.706786616203705,13.383,37.661703211252345,3.7661703211252346,11.086,113.22190430962439,11.32219043096244,9.425,271.09204783827306,27.10920478382731,7.644,511.6793374116402,51.16793374116402,6.315,683.4439641550152,68.34439641550152,4.165,2322.534087470345,232.25340874703454,1.391,1,1,1,1,1,1,1
star_9,82.95570416666665,-6.0053769444444445,209.18304324127487,-20.428114584992187,-0.59,-0.6,0.068,40.18725263507007,4.018725263507007,11.496,48.0728595847773,4.80728595847773,10.821,40.20966502391991,4.020966502391992,10.549,30.36104938670061,3.036104938670061,10.021,21.94814798142428,2.194814798142428,9.734,24.677599541316095,2.4677599541316098,7.771,123.35651652016861,12.335651652016862,4.578,1,1,1,1,1,1,1
star_10,82.96547083333331,-5.38561888888889,208.5982295769818,-20.13951230100797,-1.3,-1.48,0.964,25.123972945123544,2.5123972945123545,12.006,65.08785458563513,6.508785458563513,10.492,87.16265592577608,8.716265592577608,9.709,74.25347417532922,7.425347417532922,9.05,77.73164877720463,7.773164877720463,8.361,54.68936897778922,5.468936897778923,6.907,42.7328734592425,4.27328734592425,5.729,1,1,1,1,1,1,1
star_11,82.97942083333332,-4.3813788888888885,207.65430419078626,-19.66942945018863,-1.44,-1.45,0.174,16.768272268742148,1.6768272268742148,12.445,18.71974621330167,1.871974621330167,11.845,16.593211740988696,1.6593211740988698,11.51,11.064117473510727,1.1064117473510728,11.117,8.89196776607879,0.8891967766078791,10.715,6.563007678761866,0.6563007678761866,9.209,5.48481642909366,0.548481642909366,7.958,1,1,1,1,1,1,1
star_12,82.98737916666666,-3.626876111111111,206.94755412139588,-19.315226673537833,0.0,0.0,0.135,3.16000898201899,0.316000898201899,14.257,2.9396793159932786,0.2939679315993279,13.855,3.7664348110736197,0.376643481107362,13.12,2.6443368568674646,0.26443368568674647,12.671,2.2667200163154932,0.22667200163154932,12.199,1.9984942929065632,0.19984942929065633,10.5,3.904470058520453,0.3904470058520453,8.327,1,1,1,1,1,1,1
